name,description,price,happyHour
Raspberry Collins,"Our twist on a traditional Tom Collins. Raspberry puree, Gin, Lemon juice and sugar syrup served long and topped up with soda",£9,TRUE
The Pornstar Martini,"Vodka, passion fruit, vanilla and passionfruit syrup, pineapple and a shot of Prosecco",£9,TRUE
Long Island Iced Tea,"A blend of 5 liqueurs. Vodka, gin, white rum, tequila, triple sec with a splash of cola and lemon juice",£10,FALSE
Sours,"Whiskey, Amaretto or limoncello, lemon juice, sugar syrup and egg white",£10,TRUE
Espresso Martini,"Tia Maria, vodka, vanilla syrup, fresh shot of espresso",£10,TRUE
Margarita,"Tequila, triple sec and lime juice, served straight up with a salted rim",£10,TRUE
French Martini,"A New York favourite brought to Low Fell. A sweet blend of blackberries, malt with vodka, raspberry liqueur and pineapple juice",£9,TRUE
Mojito,"A Cuban classic! A refreshing blend of muddled limes, sugar syrup, white rum & fresh mint topped up with soda",£10,TRUE
Old Fashioned,"Whiskey, Angostura bitters, brown sugar and orange peel garnish",£9,TRUE
Ice Lolly,"The Bank's signature cocktail. Lychee liqueur, Midori, strawberry syrup and pineapple juice. Layered to make a colourful, refreshing smooth cocktail",£9,TRUE
Dark & Stormy,"Ginger beer, topped with dark rum and a squeeze of fresh lime",£12,TRUE
Very Berry,"A berry nice mix of amaretto, raspberry liqueur and strawberry puree mixed with vanilla syrup, fresh cream and pineapple juice",£9,TRUE
Bloody Mary,"Vodka, tomato juice, Worcester sauce, lemon juice & black pepper",£10,TRUE
Pina Colada,"White rum and coconut rum with just enough cream and pineapple juice. A tropical classic!",£9,TRUE
Aperol Spritz / Lemon Spritz,"Sipping on Italian sunshine. Your choice of aperol or limoncello topped up with prosecco and soda",£9,TRUE
Mocktails,Alcohol free selected cocktails - please ask your server,£6 or 2 for £10,TRUE
