Name,quote,source,rating,sortOrder
Ben Y,"I've been waiting to try the tapas from here for a while. We come in for drinks at least once every few month but have swore to try the 5 for £25!! Myself and Mrs Y do love a good tapas and have visited other ""famous"" tapas restaurants in Newcastle and let me tell you The Bank didn't disappoint!!! In fact, I'd go do far as to say it was better!! Shout out to the chef as the Calamari was THE best I've ever had!! We'll defo be back.",TripAdvisor,5,1
Michelle A,"Had lovely tasty tapas and two for one cocktails on Easter Saturday in the afternoon. It was quiet busy but the service and food was excellent. Always have a lovely meal and experience. Good deals too.",TripAdvisor,5,2
Lisa C,"1st time visiting and would definitely return. Highly recommended their bottomless brunch, members of staff couldn't do enough for you, very friendly and fantastic atmosphere.",TripAdvisor,5,3
Josh B,"Love this place! The best pint of Guiness on the fell, can always have a good chat with the bar staff. I take my son and the staff are always really good with him. Food is amazing as well!",TripAdvisor,5,4
Colette J,"Always a great night at The bank, lovely staff and a great range of drinks to choose from! The food is always amazing with a great variety.",TripAdvisor,5,5
Teresa J,"Had a lovely evening at the bank last Saturday. The atmosphere is great the staff friendly and the food was lovely. The cocktails are also very nice.",TripAdvisor,5,6
Izzy,"Visited The Bank Bar on Wednesday evening with work friends and had a really enjoyable night. We shared the 5 Tapas Board, which was delicious - every dish was packed with flavour and perfect for sharing. Our server Abbie was so pleasant and attentive, checking in just the right amount and making us feel really welcome. The atmosphere was lively but relaxed, ideal for catching up after work. Would definitely recommend The Bank Bar for great tapas, friendly service, and a lovely vibe.",TripAdvisor,5,7
BDavis,"Popped into The Bank Bar on Friday afternoon after finishing work early and tried the Bank Smash Burger - it was fantastic! Juicy, flavoursome, and cooked perfectly. Easily one of the best burgers I've had in a while! The atmosphere was lively with a great weekend vibe, and the staff looked after us brilliantly. Shout out to Abbie! Perfect place for good food, great cocktails, and a relaxed night out. Definitely recommend!",TripAdvisor,5,8
Eric M,"We took our grandchildren for a treat to the Bank for mocktails. The staff were so friendly and helpful. They worked out the best deal for drinks and even brought some chips! Such a great welcome and wonderful service. We will be back, thank you!",TripAdvisor,5,9
alan t,"First time in the bank got to say nothing but praise staff great food fantastic very reasonable priced. 5 tapas £25 top quality food.",TripAdvisor,5,10
Woo68,"Great menu plenty to choose from. Tasty burgers, veggie & meat both thoroughly enjoyed. Fast service, friendly staff.",TripAdvisor,5,11
Terence N,"We pulled in for lunch before heading back to Essex and what a lovely surprise we had. The decor was very smart and my chicken burger was delicious. However my wife said the Thai Curry was actually the best she had ever tasted.",TripAdvisor,5,12
Carmel S,"I've taken my elderly mum, who is a wheelchair user, to The Bank twice for lunch and each time the meals we had were very good. The staff are very courteous, assisting with mum's wheelchair via their disabled access and making sure mum had everything she needed. I recommend this bar restaurant without reservation.",TripAdvisor,4,13
